# Combined map
# rounds=12, blocks=2
# Format:
# <name> input/output <index> aig_lit <aig_lit> dimacs_lit <dimacs_lit>

# Inputs
rk[11][1] output 241 aig_lit 5298 dimacs_lit 2649
rk[11][2] output 242 aig_lit 5514 dimacs_lit 2757
rk[11][3] output 243 aig_lit 5551 dimacs_lit -2775
rk[11][4] output 244 aig_lit 5850 dimacs_lit 2925
rk[11][5] output 245 aig_lit 5875 dimacs_lit -2937
rk[11][6] output 246 aig_lit 5984 dimacs_lit 2992
rk[11][7] output 247 aig_lit 6076 dimacs_lit 3038
rk[11][8] output 248 aig_lit 6100 dimacs_lit 3050
rk[11][9] output 249 aig_lit 6173 dimacs_lit -3086
rk[11][10] output 250 aig_lit 6211 dimacs_lit -3105
rk[11][11] output 251 aig_lit 6235 dimacs_lit -3117
rk[11][12] output 252 aig_lit 6273 dimacs_lit -3136
rk[11][13] output 253 aig_lit 6311 dimacs_lit -3155
rk[11][14] output 254 aig_lit 6348 dimacs_lit 3174
rk[11][15] output 255 aig_lit 6395 dimacs_lit -3197
